Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
2-02765-0146,645 BARRETTO STREET,HUNTS POINT,C6  -WALK-UP,       48,1927,"38,720","573,830",     14.82,"358,547",9.26,"215,283","1,567,000",     40.47,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,"41,750","618,735",     14.82,"345,690",8.28,"273,045","1,405,000",     33.65,0.58,2-02643-0053,753 EAST 151 STREET,MORRISANIA/LONGWOOD,C1  -WALK-UP,       31,1912,"20,150","285,727",     14.18,"154,954",7.69,"130,774","504,000",     25.01,0.93,2-02763-0080,1276 LAFAYETTE AVENUE,HUNTS POINT,C1  -WALK-UP,       58,1915,"52,452","790,976",     15.08,"464,725",8.86,"326,251","1,871,000",     35.67,0.19
2-02791-0052,1695 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       27,1926,"17,000","281,690",     16.57,"152,150",8.95,"129,540","970,000",     57.06,2-02908-0017,446 EAST 176 STREET,BATHGATE,C1  -WALK-UP,       24,1931,"15,536","282,444",     18.18,"167,633",10.79,"114,811","877,000",     56.45,0.36,2-02908-0015,442 EAST 176 STREET,BATHGATE,C1  -WALK-UP,       24,1910,"15,396","255,112",     16.57,"127,479",8.28,"127,633","955,000",     62.03,0.36,2-02807-0052,2038 MORRIS AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       36,1920,"24,000","385,200",     16.05,"234,000",9.75,"151,200","1,124,000",     46.83,0.56
2-02791-0054,1685 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       43,1931,"33,000","613,800",     18.60,"368,280",11.16,"245,520","1,883,000",     57.06,2-02863-0007,1988 DAVIDSON AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       16,1925,"12,200","225,212",     18.46,"129,808",10.64,"95,404","973,000",     79.75,0.62,2-02863-0009,1996 DAVIDSON AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       16,1925,"12,250","229,198",     18.71,"131,443",10.73,"97,755","883,000",     72.08,0.62,2-03044-0017,2000 WASHINGTON AVENUE,BATHGATE,D3  -ELEVATOR,      120,1983,"90,994","1,692,488",     18.60,"1,015,493",11.16,"676,995","6,369,000",     69.99,0.6
2-02794-0062,221 EAST 173 STREET,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       26,1939,"32,150","572,270",     17.80,"313,784",9.76,"258,486","1,966,000",     61.15,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,"41,250","753,225",     18.26,"446,738",10.83,"306,488","2,344,000",     56.82,0.29,2-02879-0149,1840 SEDGWICK AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       46,1928,"40,150","695,800",     17.33,"348,502",8.68,"347,298","2,190,000",     54.55,0.75,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02799-0022,1776 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       25,1931,"21,080","368,057",     17.46,"202,157",9.59,"165,900","1,257,000",     59.63,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,"41,250","753,225",     18.26,"446,738",10.83,"306,488","2,344,000",     56.82,0.17,2-02877-0543,1785 POPHAM AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D9  -ELEVATOR,       25,1925,"22,620","376,849",     16.66,"188,877",8.35,"187,972","1,354,000",     59.86,0.84,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02802-0005,1854 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       26,1915,"22,500","333,225",     14.81,"199,125",8.85,"134,100","976,000",     43.38,2-02790-0007,1650 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       27,1926,"23,500","329,000",     14.00,"197,400",8.40,"131,600","943,000",     40.13,0.33,2-02930-0061,1775 FULTON AVENUE,CROTONA PARK,C1  -WALK-UP,       15,1905,"13,720","214,169",     15.61,"127,459",9.29,"86,710","640,000",     46.65,0.56,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02805-0016,1855 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       44,1936,"45,000","699,300",     15.54,"359,550",7.99,"339,750","2,504,000",     55.64,2-02801-0018,1855 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       36,1936,"37,000","595,700",     16.10,"317,830",8.59,"277,870","1,988,000",     53.73,0.07,2-02863-0008,1992 DAVIDSON AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       16,1925,"12,250","190,243",     15.53,"105,350",8.60,"84,893","766,000",     62.53,0.32,2-02784-0010,306 EAST 171 STREET,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       80,1928,"72,000","1,118,880",     15.54,"575,280",7.99,"543,600","4,625,000",     64.24,0.73
2-02809-0022,240 ECHO PLACE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       42,1931,"45,700","665,392",     14.56,"319,443",6.99,"345,949","2,506,000",     54.84,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,"41,250","600,600",     14.56,"325,875",7.90,"274,725","2,344,000",     56.82,0.15,2-03026-0005,2466 MARION AVENUE,FORDHAM,D1  -ELEVATOR,       47,1907,"56,160","795,787",     14.17,"414,461",7.38,"381,326","3,281,000",     58.42,1,2-02879-0149,1840 SEDGWICK AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       46,1928,"40,150","649,627",     16.18,"289,883",7.22,"359,744","2,190,000",     54.55,0.7
2-02810-0026,250 EAST 178 STREET,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       60,1936,"70,000","1,084,300",     15.49,"574,700",8.21,"509,600","3,754,000",     53.63,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,"41,250","651,750",     15.80,"350,625",8.50,"301,125","2,344,000",     56.82,0.19,2-03044-0017,2000 WASHINGTON AVENUE,BATHGATE,D3  -ELEVATOR,      120,1983,"90,994","1,409,497",     15.49,"854,434",9.39,"555,063","6,369,000",     69.99,0.4,2-03026-0005,2466 MARION AVENUE,FORDHAM,D1  -ELEVATOR,       47,1907,"56,160","865,426",     15.41,"448,157",7.98,"417,269","3,281,000",     58.42,0.95
2-02821-0052,1561 SHERIDAN AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       68,1928,"74,462","1,164,586",     15.64,"603,887",8.11,"560,699","4,142,000",     55.63,2-02801-0018,1855 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       36,1936,"37,000","586,080",     15.84,"286,750",7.75,"299,330","1,988,000",     53.73,0.52,2-02784-0010,306 EAST 171 STREET,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       80,1928,"72,000","1,100,160",     15.28,"514,800",7.15,"585,360","4,625,000",     64.24,0.28,2-02833-0020,1425 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D5  -ELEVATOR,       76,1917,"60,000","938,400",     15.64,"486,600",8.11,"451,800","4,578,000",     76.30,0.2
2-02826-0011,1770 WALTON AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       37,1925,"29,600","455,840",     15.40,"264,920",8.95,"190,920","1,404,000",     47.43,2-02850-0016,1785 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       59,1924,"48,753","749,821",     15.38,"459,253",9.42,"290,568","2,136,000",     43.81,0.11,2-02850-0047,54 EAST 176 STREET,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       53,1924,"37,090","571,557",     15.41,"314,152",8.47,"257,405","1,892,000",     51.01,0.06,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02826-0024,110 EAST 176 STREET,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       38,1924,"28,100","522,660",     18.60,"261,330",9.30,"261,330","2,005,000",     71.35,2-02850-0047,54 EAST 176 STREET,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       53,1924,"37,090","667,620",     18.00,"397,976",10.73,"269,644","1,892,000",     51.01,0.06,2-02888-0028,1644 ANTHONY AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       51,1924,"36,375","698,036",     19.19,"362,659",9.97,"335,378","1,781,000",     48.96,0.44,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02849-0028,1723 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       21,1926,"24,900","339,636",     13.64,"181,023",7.27,"158,613","1,128,000",     45.30,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","104,622",     14.10,"66,112",8.91,"38,510","562,000",     75.74,0.95,2-02807-0016,1995 CRESTON AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       41,1920,"37,000","504,680",     13.64,"268,990",7.27,"235,690","1,341,000",     36.24,0.41,2-02907-0002,445 EAST 174 STREET,BATHGATE,C1  -WALK-UP,       23,1914,"25,290","343,691",     13.59,"181,582",7.18,"162,109","705,000",     27.88,0.65
2-02850-0040,1770 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       57,1925,"44,440","684,376",     15.40,"397,738",8.95,"286,638","2,108,000",     47.43,2-02850-0016,1785 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       59,1924,"48,753","749,821",     15.38,"459,253",9.42,"290,568","2,136,000",     43.81,0.05,2-02850-0047,54 EAST 176 STREET,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       53,1924,"37,090","571,557",     15.41,"314,152",8.47,"257,405","1,892,000",     51.01,0,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02861-0114,1770 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       65,1927,"81,502","1,032,630",     12.67,"484,937",5.95,"547,693","3,799,000",     46.61,2-02522-0070,1434 OGDEN AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D7  -ELEVATOR,      131,2005,"110,004","1,393,751",     12.67,"885,532",8.05,"508,218","6,740,000",     61.27,0.77,2-02802-0037,1853 ANTHONY AVENUE,MOUNT HOPE/MOUNT EDEN,D7  -ELEVATOR,       28,2008,"35,310","434,666",     12.31,"245,758",6.96,"188,909","1,297,000",     36.73,0.37,2-02797-0039,1771 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       86,2012,"98,564","1,255,705",     12.74,"679,106",6.89,"576,599","4,011,000",     40.69,0.33
2-02861-0119,1780 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       42,1928,"42,450","626,987",     14.77,"376,107",8.86,"250,880","1,824,000",     42.97,2-02878-0170,1710 ANDREWS AVENUE SOUTH,HIGHBRIDGE/MORRIS HEIGHTS,D1  -ELEVATOR,       82,1927,"96,722","1,482,748",     15.33,"800,858",8.28,"681,890","5,010,000",     51.80,0.28,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,"37,830","537,564",     14.21,"317,394",8.39,"220,171","1,584,000",     41.87,0.4,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02867-0047,1711 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       87,1928,"98,700","1,321,593",     13.39,"768,873",7.79,"552,720","3,907,000",     39.58,2-02878-0170,1710 ANDREWS AVENUE SOUTH,HIGHBRIDGE/MORRIS HEIGHTS,D1  -ELEVATOR,       82,1927,"96,722","1,293,173",     13.37,"737,022",7.62,"556,152","5,010,000",     51.80,0.24,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,"37,830","545,130",     14.41,"335,930",8.88,"209,200","1,584,000",     41.87,0.23,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,"41,250","552,338",     13.39,"321,338",7.79,"231,000","2,344,000",     56.82,0.39
2-02868-0121,1966 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       11,1914,"17,100","188,442",     11.02,"103,626",6.06,"84,816","560,000",     32.75,2-02868-0129,1982 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C1  -WALK-UP,       21,1915,"18,750","206,625",     11.02,"132,188",7.05,"74,438","703,000",     37.49,0,2-03219-0212,111 FATHER ZEISER PLACE,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       27,1922,"27,040","286,083",     10.58,"160,347",5.93,"125,736","817,000",     30.21,0.92,2-02806-0005,1910 MORRIS AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       13,1911,"12,500","155,250",     12.42,"53,625",4.29,"101,625","701,000",     56.08,0.33
2-02869-0143,2015 GRAND AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       31,1924,"25,000","290,000",     11.60,"185,750",7.43,"104,250","702,000",     28.08,2-03218-0009,2272 ANDREWS AVENUE NORTH,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       27,1923,"22,750","289,153",     12.71,"159,023",6.99,"130,130","904,000",     39.74,0.67,2-03216-0048,2015 DR M L KING JR BOULEVARD,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       63,1921,"78,000","897,000",     11.50,"547,560",7.02,"349,440","2,345,000",     30.06,0.22,2-02807-0067,2031 CRESTON AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       30,1919,"24,080","279,328",     11.60,"178,914",7.43,"100,414","676,000",     28.07,0.31
2-02870-0007,1986 GRAND AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       26,1924,"18,000","227,700",     12.65,"138,960",7.72,"88,740","616,000",     34.22,2-03218-0009,2272 ANDREWS AVENUE NORTH,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       27,1923,"22,750","289,153",     12.71,"159,023",6.99,"130,130","904,000",     39.74,0.58,2-03212-0080,2405 GRAND AVENUE,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       21,1905,"22,180","279,246",     12.59,"177,662",8.01,"101,584","704,000",     31.74,0.59,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02872-0001,1372 SHAKESPEARE AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       57,1926,"39,745","447,131",     11.25,"268,279",6.75,"178,853","1,189,000",     29.92,2-02521-0024,1391 EDWARD L GRANT HIGHWAY,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       25,1925,"26,244","295,245",     11.25,"188,957",7.20,"106,288","707,000",     26.94,0.12,2-02876-0040,93 FEATHERBED LANE,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       30,1924,"33,000","382,140",     11.58,"244,530",7.41,"137,610","925,000",     28.03,0.4,2-02872-0123,1476 SHAKESPEARE AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       32,1924,"33,000","369,930",     11.21,"199,650",6.05,"170,280","1,130,000",     34.24,0.2
2-02876-0001,1600 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       32,1912,"26,650","308,607",     11.58,"197,477",7.41,"111,131","747,000",     28.03,2-02879-0028,1890 ANDREWS AVENUE SOUTH,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       62,1924,"59,433","870,693",     14.65,"442,182",7.44,"428,512","3,108,000",     52.29,0.43,2-02876-0040,93 FEATHERBED LANE,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       30,1924,"33,000","382,140",     11.58,"244,530",7.41,"137,610","925,000",     28.03,0,2-02876-0037,81 FEATHERBED LANE,HIGHBRIDGE/MORRIS HEIGHTS,C7  -WALK-UP,       30,1924,"33,000","353,760",     10.72,"194,370",5.89,"159,390","1,038,000",     31.45,0
2-02876-0131,1713 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       48,1927,"58,350","820,401",     14.06,"508,812",8.72,"311,589","2,237,000",     38.34,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,"37,830","537,564",     14.21,"317,394",8.39,"220,171","1,584,000",     41.87,0.2,2-02850-0060,1775 WALTON AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       63,2007,"62,685","871,948",     13.91,"479,540",7.65,"392,408","2,806,000",     44.76,0.35,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02878-0061,1641 ANDREWS AVENUE SOUTH,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       61,1925,"55,750","661,753",     11.87,"364,048",6.53,"297,705","2,020,000",     36.23,2-02876-0088,1640 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C1  -WALK-UP,       25,1915,"25,100","351,149",     13.99,"147,588",5.88,"203,561","1,460,000",     58.17,0.11,2-03216-0048,2015 DR M L KING JR BOULEVARD,KINGSBRIDGE HTS/UNIV HTS,C1  -WALK-UP,       63,1921,"78,000","897,000",     11.50,"547,560",7.02,"349,440","2,345,000",     30.06,0.63,2-02807-0016,1995 CRESTON AVENUE,MOUNT HOPE/MOUNT EDEN,C1  -WALK-UP,       41,1920,"37,000","439,190",     11.87,"241,610",6.53,"197,580","1,341,000",     36.24,0.69
2-02931-0098,605 EAST 169 STREET,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       35,1931,"41,580","590,436",     14.20,"342,619",8.24,"247,817","1,783,000",     42.88,2-02673-0051,1215 UNION AVENUE,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       30,1912,"26,572","374,665",     14.10,"195,038",7.34,"179,627","1,439,000",     54.15,0.26,2-02714-0064,979 EAST 163 STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       20,1928,"21,815","309,773",     14.20,"179,319",8.22,"130,454","916,000",     41.99,0.84,2-02714-0061,983 EAST 163 STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       22,1912,"25,840","366,928",     14.20,"212,922",8.24,"154,006","1,048,000",     40.56,0.84
2-02933-0016,1342 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1920,"23,770","384,361",     16.17,"210,840",8.87,"173,521","1,292,000",     54.35,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,"10,850","168,392",     15.52,"91,683",8.45,"76,710","266,000",     24.52,0.39,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","209,138",     18.41,"129,845",11.43,"79,293","604,000",     53.17,0.32,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1  -WALK-UP,       31,1910,"17,520","283,298",     16.17,"155,402",8.87,"127,896","803,000",     45.83,0.91
2-02933-0029,1372 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       48,1931,"48,852","783,098",     16.03,"500,733",10.25,"282,365","2,098,000",     42.95,2-02714-0061,983 EAST 163 STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       22,1912,"25,840","420,158",     16.26,"240,054",9.29,"180,105","1,048,000",     40.56,0.77,2-02712-0040,901 FOX STREET,MORRISANIA/LONGWOOD,D1  -ELEVATOR,       25,1913,"32,994","528,894",     16.03,"317,072",9.61,"211,821","1,107,000",     33.55,0.91,2-02722-0052,923 BARRETTO STREET,MORRISANIA/LONGWOOD,D1  -ELEVATOR,       36,1922,"36,575","373,797",     10.22,"267,363",7.31,"106,433","2,455,000",     67.12,0.98
2-02935-0001,625 JEFFERSON PLACE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       16,1906,"17,100","266,247",     15.57,"150,309",8.79,"115,938","855,000",     50.00,2-02673-0051,1215 UNION AVENUE,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       30,1912,"26,572","411,069",     15.47,"209,653",7.89,"201,416","1,439,000",     54.15,0.27,2-02714-0061,983 EAST 163 STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       22,1912,"25,840","402,329",     15.57,"227,134",8.79,"175,195","1,048,000",     40.56,0.83,2-02714-0064,979 EAST 163 STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       20,1928,"21,815","339,660",     15.57,"191,536",8.78,"148,124","916,000",     41.99,0.83
2-02935-0008,620 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,"20,655","275,538",     13.34,"125,996",6.10,"149,542","1,056,000",     51.13,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,"10,850","139,423",     12.85,"85,064",7.84,"54,359","266,000",     24.52,0.48,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","178,806",     15.74,"122,802",10.81,"56,005","604,000",     53.17,0.28,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","98,983",     13.34,"64,999",8.76,"33,984","562,000",     75.74,0.52
2-02935-0010,630 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,"19,001","253,473",     13.34,"133,007",7.00,"120,466","850,000",     44.73,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,"10,850","139,423",     12.85,"85,064",7.84,"54,359","266,000",     24.52,0.48,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","178,806",     15.74,"122,802",10.81,"56,005","604,000",     53.17,0.28,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","98,983",     13.34,"64,999",8.76,"33,984","562,000",     75.74,0.52
2-02935-0012,636 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,"19,001","253,473",     13.34,"133,007",7.00,"120,466","850,000",     44.73,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,"10,850","139,423",     12.85,"85,064",7.84,"54,359","266,000",     24.52,0.48,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","178,806",     15.74,"122,802",10.81,"56,005","604,000",     53.17,0.28,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","98,983",     13.34,"64,999",8.76,"33,984","562,000",     75.74,0.52
2-02948-0025,705 CROTONA PARK NORTH,CROTONA PARK,C6  -WALK-UP,       20,1916,"15,000","290,250",     19.35,"170,250",11.35,"120,000","928,000",     61.87,2-03125-0014,2117 DALY AVENUE,EAST TREMONT,C1  -WALK-UP,       18,1915,"19,250","372,488",     19.35,"185,763",9.65,"186,725","1,042,000",     54.13,0.63,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","229,472",     20.20,"134,389",11.83,"95,083","604,000",     53.17,0.66,2-02948-0018,1795 CLINTON AVENUE,CROTONA PARK,C1  -WALK-UP,       30,1924,"20,785","385,354",     18.54,"201,199",9.68,"184,155","701,000",     33.73,0
2-02948-0028,701 CROTONA PARK NORTH,CROTONA PARK,C6  -WALK-UP,       25,1916,"18,225","324,405",     17.80,"193,367",10.61,"131,038","997,000",     54.71,2-02978-0179,1674 BOSTON ROAD,CROTONA PARK,C1  -WALK-UP,       21,1912,"15,590","270,487",     17.35,"133,295",8.55,"137,192","562,000",     36.05,0.47,2-02957-0011,857 CROTONA PARK NORTH,CROTONA PARK,C1  -WALK-UP,       20,1914,"20,425","363,565",     17.80,"186,685",9.14,"176,881","957,000",     46.85,0.27,2-02952-0009,801 CROTONA PARK NORTH,CROTONA PARK,C1  -WALK-UP,       22,1931,"30,038","565,315",     18.82,"279,654",9.31,"285,661","1,079,000",     35.92,0.16
2-02949-0075,1815 PROSPECT AVENUE,CROTONA PARK,C6  -WALK-UP,       45,1931,"54,126","891,996",     16.48,"479,015",8.85,"412,981","3,090,000",     57.09,2-03125-0014,2117 DALY AVENUE,EAST TREMONT,C1  -WALK-UP,       18,1915,"19,250","317,240",     16.48,"170,363",8.85,"146,878","1,042,000",     54.13,0.54,2-02964-0021,1389 STEBBINS AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       17,1909,"11,360","196,869",     17.33,"125,414",11.04,"71,454","604,000",     53.17,0.7,2-02952-0009,801 CROTONA PARK NORTH,CROTONA PARK,C1  -WALK-UP,       22,1931,"30,038","453,273",     15.09,"219,277",7.30,"233,996","1,079,000",     35.92,0.14
2-02961-0015,757 EAST 169 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       32,1926,"26,347","481,360",     18.27,"285,338",10.83,"196,022","1,499,000",     56.89,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,"10,850","198,230",     18.27,"99,712",9.19,"98,518","294,000",     27.10,0.39,2-02913-0042,1575 BATHGATE AVENUE,BATHGATE,C7  -WALK-UP,       11,1931,"10,765","197,215",     18.32,"105,605",9.81,"91,610","421,000",     39.11,0.59,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,"8,620","157,315",     18.25,"75,942",8.81,"81,373","458,000",     53.13,0.97
